Продукт,Калорийность,Белки,Жиры,Углеводы,Категория
Яблочно-манная каша,"128,4 кКал","1,9 г","4,3 г",22 г,каша
Яичная каша (натуральная),"180,3 кКал","10,3 г",11 г,"10,8 г",каша
Яичная каша с овощами или грибами,261 кКал,"15,9 г","13,2 г","20,9 г",каша
Ячневая каша с картофелем,"48,6 кКал","1,8 г",1 г,"8,7 г",каша
Абрикосовый газированный коктейль,"36,4 кКал",1 г,"0,8 г","6,6 г",напитки
Абрикосовый гоголь-моголь,"85,5 кКал","3,1 г","2,8 г","12,9 г",напитки
Абрикосовый десертный напиток,"86,1 кКал","0,3 г","0,04 г","22,5 г",напитки
Абрикосовый коктейль с поплавком,"70,8 кКал","2,7 г","2,7 г","9,4 г",напитки
Апельсиновое молоко,"78,2648 кКал","3,0347 г","2,5187 г","10,6881 г",напитки
Апельсиновый компот,"57,2 кКал","0,3 г","0,05 г","14,9 г",напитки
Бурятский чай,94 кКал,"0,7 г","9,3 г","2,1 г",напитки
Горячий абрикосовый напиток,"53,7 кКал","2,3 г","2,6 г","5,6 г",напитки
Какао с молоком,"102,8 кКал","2,9 г","2,9 г","17,2 г",напитки
Какао с молоком сгущенным,"86,6 кКал","2,2 г","2,4 г",15 г,напитки
Квас из ревеня,34 кКал,"0,2 г","0,04 г","8,8 г",напитки
Квас клюквенный,"40,4 кКал","0,1 г","0,03 г","10,6 г",напитки
Квас по-тобольски,"35,8 кКал","0,6 г","0,1 г","8,6 г",напитки
Квас хлебный из экстракта,"4,3 кКал","0,04 г","0,008 г","1,1 г",напитки
Квас яблочный,"36,7 кКал","0,2 г","0,09 г","9,4 г",напитки
Кефир с ревенем,55 кКал,"2,1 г","2,3 г","6,8 г",напитки
"Кефир, ацидофилин, простокваша, ряженка","55,9 кКал","2,8 г","3,2 г","4,1 г",напитки
Кисель апельсиновый,"97,8 кКал","2,7 г","2,1 г",18 г,напитки
Кисель брусничный,"75,2 кКал","0,07 г","0,05 г","19,9 г",напитки
Кисель из абрикосов,"53,7 кКал","0,1 г","0,01 г","14,2 г",напитки
Кисель из земляники,"51,1 кКал","0,08 г","0,04 г","13,5 г",напитки
Кисель из клюквы (густой),"55,4 кКал","0,05 г","0,02 г","14,7 г",напитки
Кисель из концентрата на плодовых или ягодных экстрактах,"26,3 кКал",0 г,0 г,7 г,напитки
Кисель из овсяных хлопьев,"130,6 кКал",4 г,"7,5 г","12,6 г",напитки
Кисель из плодов и ягод свежих,"55,2 кКал","0,06 г","0,02 г","14,6 г",напитки
Кисель из яблок (густой),"62,1 кКал","0,09 г","0,08 г","16,3 г",напитки
Кисель молочный,"33,5 кКал","0,9 г",1 г,"5,5 г",напитки
Кисель молочный (густой),"60,5 кКал",3 г,"3,3 г","4,9 г",напитки
Кисель морковный,"49,3 кКал","0,3 г","0,02 г","12,8 г",напитки
"Коктейль ""Юпитер""","82,5 кКал","2,5 г","4,7 г","8,1 г",напитки
Коктейль молочный,"96,6 кКал","2,9 г","4,3 г","12,5 г",напитки
Коктейль с креветками,"57,5 кКал","3,1 г","4,5 г","1,2 г",напитки
Компот из абрикосов,"48,4 кКал","0,2 г","0,02 г","12,7 г",напитки
Компот из айвы,"72,4 кКал","0,1 г","0,1 г","18,9 г",напитки
Компот из барбариса,"111,7 кКал",0 г,0 г,"29,8 г",напитки
Компот из вишни,"53,5 кКал","0,3 г","0,08 г","13,7 г",напитки
Компот из моркови,"34,1 кКал","0,3 г","0,02 г","8,8 г",напитки
Компот из плодов консервированных 2,"41,3 кКал","0,3 г","0,07 г","10,5 г",напитки
Компот из свежих плодов,"59,1 кКал","0,1 г","0,1 г","15,3 г",напитки
Компот из свеклы,"49,2 кКал",1 г,"0,07 г","11,8 г",напитки
Компот из смеси сухофруктов,"55,6 кКал","0,3 г",0 г,"14,5 г",напитки
Компот из тыквы и ревеня,"36,5 кКал","0,3 г","0,03 г","9,4 г",напитки
Компот из черники,"48,5 кКал","0,4 г","0,2 г",12 г,напитки
Компот из яблок и слив или из яблок и алычи,"66,6 кКал","0,2 г","0,1 г","17,3 г",напитки
Костяничный кисель,"37,5 кКал","0,003 г",0 г,10 г,напитки
Кофе на молоке,"64,1 кКал","1,4 г","1,5 г","12,1 г",напитки
Кофе на молоке по-варшавски,"72,5 кКал",2 г,3 г,"10,2 г",напитки
Кофе на молоке сгущенном,"254,3 кКал","2,3 г","2,4 г","59,5 г",напитки
Кофе по-восточному,"61,7 кКал","1,1 г","1,2 г","12,5 г",напитки
"Кофе черный 1-ый вариант (для кофеварки типа ""Экспресс""","202,6 кКал",14 г,"14,5 г","4,1 г",напитки
Кофе черный 2-ой вариант,"10,7 кКал","0,7 г","0,8 г","0,2 г",напитки
Кофе черный с мороженым (глясе),"111,7 кКал","1,9 г","4,1 г","17,9 г",напитки
Кофейный холодный напиток,"131,9 кКал","1,9 г","10,9 г","7,1 г",напитки
Креольский напиток,0 кКал,0 г,0 г,0 г,напитки
Крыжовник с кефиром,"79,5 кКал",3 г,"4,7 г","6,6 г",напитки
Лимонный кисель,"60,1 кКал","0,06 г","0,006 г",16 г,напитки
"Медовуха ""Зауральская""","64,5 кКал",1 г,"0,2 г","15,6 г",напитки
Молоко кипяченое,"60,5 кКал",3 г,"3,3 г","4,9 г",напитки
Молочно-абрикосовый коктейль,62 кКал,"2,7 г","2,8 г",7 г,напитки
Молочный кисель из моркови,"60,8 кКал",2 г,"1,9 г","9,5 г",напитки
Молочный напиток с абрикосами,125 кКал,"1,8 г","6,3 г","16,2 г",напитки
Морс брусничный,"41,4 кКал","0,06 г","0,04 г","10,9 г",напитки
"Напиток ""Лесная быль""","67,6 кКал","1,6 г","1,4 г","12,8 г",напитки
"Напиток ""Петровский""","14,9 кКал","0,2 г","0,02 г","3,7 г",напитки
"Напиток ""Фанта""","27,6 кКал","0,1 г","0,01 г","7,2 г",напитки
Напиток апельсиновый,43 кКал,"0,03 г","0,006 г","11,4 г",напитки
Напиток апельсиновый или лимонный,"41,7 кКал","0,08 г","0,02 г",11 г,напитки
Напиток из айвы со сливками,"37,7 кКал","0,2 г","0,9 г","7,8 г",напитки
Напиток из айвы со сметаной,"32,7 кКал","0,3 г","2,3 г",3 г,напитки
Напиток из боярышника,30 кКал,0 г,0 г,8 г,напитки
Напиток из боярышника с овсяным отваром,"42,4 кКал","0,8 г","0,5 г","9,3 г",напитки
Напиток из брусники,"79,6 кКал","0,3 г","0,2 г","20,5 г",напитки
Напиток из варенья,"19,4 кКал",0 г,0 г,"5,2 г",напитки
Напиток из вишни с изюмом,"46,1 кКал","0,7 г","0,5 г","10,4 г",напитки
Напиток из кураги,"47,4 кКал","0,4 г","0,02 г","12,1 г",напитки
Напиток из сиропа,0 кКал,0 г,0 г,0 г,напитки
Напиток из тыквы,"39,7 кКал","0,2 г","0,02 г","10,3 г",напитки
Напиток клюквенный,"40,3 кКал","0,05 г","0,02 г","10,6 г",напитки
Напиток Рябинушка,"41,1 кКал","0,4 г","0,05 г","10,4 г",напитки
Напиток яблочный,"42,1 кКал","0,05 г","0,05 г","11,1 г",напитки
Напиток яблочный с медом,"70,7 кКал","0,3 г","0,1 г","18,3 г",напитки
Настой барбарисовый,"178,7 кКал",0 г,0 г,"47,7 г",напитки
Ногайский чай (карачаево-черкесский национальный напиток),"105,4 кКал","2,6 г","9,2 г","3,3 г",напитки
Отвар из шиповника,"18,8 кКал","0,3 г","0,1 г","4,4 г",напитки
Пинемень куслят (кисель овсяный - мордовское национальное блюдо),"54,9 кКал","1,6 г","0,8 г","11,1 г",напитки
Сбитень,"58,1 кКал","0,2 г","0,7 г","13,5 г",напитки
Сбитень по Новониколаевски,"68,7 кКал","0,1 г","0,009 г","18,2 г",напитки
Студенческий напиток,"13,9 кКал","1,2 г","0,03 г","2,3 г",напитки
Тыквенный кисель,"101,5 кКал","1,9 г",5 г,13 г,напитки
Хлебный квас,27 кКал,"0,2 г",0 г,"5,2 г",напитки
Чай брусничный,"26,4 кКал","0,02 г","0,02 г",7 г,напитки
Чай из душицы,"27,1 кКал","0,01 г",0 г,"7,2 г",напитки
Чай рябиновый,"9,2 кКал","0,3 г","0,05 г",2 г,напитки
Чай с лимоном,"41,1 кКал","0,2 г","0,05 г","10,6 г",напитки
Чай с молоком или сливками,"52,9 кКал","0,9 г","0,8 г","11,3 г",напитки
"Чай с сахаром, вареньем, джемом, медом, повидлом","41,7 кКал","0,2 г","0,05 г","10,8 г",напитки
Чай с яблоками,"17,2 кКал","0,3 г","0,2 г","3,7 г",напитки
Чай фруктовый с абрикосами,"169,8 кКал","4,7 г","0,4 г","39,4 г",напитки
Черника с молоком,60 кКал,"2,2 г","2,3 г","8,2 г",напитки
Яблочный пунш,75 кКал,"0,3 г","0,3 г","19,1 г",напитки
Ягодная наливка,"124,1 кКал","0,6 г","0,4 г","31,6 г",напитки
Борщ,"57,7 кКал","3,8 г","2,9 г","4,3 г",первое блюдо
Борщ из свежей капусты и картофеля по 1-110,36 кКал,1 г,"1,1 г","5,4 г",первое блюдо
Борщ кубанский с кабачками,"88,2 кКал","4,9 г","5,7 г","4,7 г",первое блюдо
Борщ летний (с ботвой свеклы),69 кКал,"3,9 г","3,2 г","6,6 г",первое блюдо
Борщ летний по 1-122,38 кКал,"1,1 г","1,2 г","5,7 г",первое блюдо
Борщ московский,"115,5 кКал","8,3 г","7,2 г","4,6 г",первое блюдо
Борщ по 1-110,29 кКал,"0,8 г",1 г,"4,1 г",первое блюдо
Борщ по-вегетариански,"34,7 кКал","0,5 г","2,7 г","2,2 г",первое блюдо
Борщ с капустой и картофелем,"61,6 кКал","3,8 г","2,9 г","5,4 г",первое блюдо
Борщ с картофелем по 1-112,42 кКал,"1,1 г","1,1 г","6,8 г",первое блюдо
Борщ с черносливом и грибами,74 кКал,"4,6 г","3,1 г","7,4 г",первое блюдо
Борщ сибирский,"76,7 кКал","5,4 г","3,4 г","6,5 г",первое блюдо
Борщ украинский,"90,2 кКал","4,4 г","4,4 г","8,7 г",первое блюдо
Борщ украинский по 1-122,50 кКал,"1,1 г","2,2 г","6,5 г",первое блюдо
Борщ холодный,"27,1 кКал","1,1 г","1,3 г",3 г,первое блюдо
Борщ холодный,"45,7 кКал","1,5 г","3,2 г",3 г,первое блюдо
Говяжий суп,"28,8 кКал","2,3 г","1,1 г","2,6 г",первое блюдо
Голландский зеленый суп,"65,3 кКал","4,8 г","1,4 г","8,8 г",первое блюдо
Голландский зеленый суп,0 кКал,0 г,0 г,0 г,первое блюдо
Гороховый суп,"54,3 кКал","2,2 г",3 г,5 г,первое блюдо
Грибной борщ,"27,1 кКал","0,7 г","2,1 г","1,4 г",первое блюдо
Грибной суп,"50,9 кКал","0,8 г","3,4 г","4,6 г",первое блюдо
Куриный суп по-индийски,0 кКал,0 г,0 г,0 г,первое блюдо
Куриный суп с макаронами,"59,7 кКал","4,5 г","3,3 г","3,1 г",первое блюдо
Литовский холодный борщ,"63,8 кКал","2,9 г","2,2 г","8,6 г",первое блюдо
Лэпсытепх (бульон с жареными орешками из муки и зажаркой - адыгейское национальное блюдо),"167,1 кКал","11,4 г","10,3 г","7,6 г",первое блюдо
Молочный суп с морковью,"33,6 кКал","1,6 г","1,5 г","3,7 г",первое блюдо
"Окрошка мясная на кефире с говядиной, по 1-194",39 кКал,"2,8 г","1,1 г","4,3 г",первое блюдо
"Окрошка мясная со сметаной и говядиной, по 1-192",52 кКал,"2,1 г","1,7 г","6,3 г",первое блюдо
Окрошка овощная по 1-192,39 кКал,"0,9 г","0,8 г","6,8 г",первое блюдо
Похлебка грибная (карельское национальное блюдо),"81,6 кКал","3,1 г","4,1 г","8,5 г",первое блюдо
Похлебка из сардин в горшочке,"115,8 кКал","6,4 г","6,9 г","7,5 г",первое блюдо
Похлебка по-суворовски,"70,4 кКал","8,7 г","2,4 г","3,8 г",первое блюдо
Похлебка рыбная по-сибирски,"57,8 кКал","4,8 г","1,5 г","6,7 г",первое блюдо
Похлебка старомосковская,"94,1 кКал","3,6 г","7,1 г","4,2 г",первое блюдо
Рассольник,"40,4 кКал","0,9 г","1,6 г","5,9 г",первое блюдо
Рассольник,0 кКал,0 г,0 г,0 г,первое блюдо
Рассольник домашний,"38,4 кКал","0,9 г","1,6 г","5,4 г",первое блюдо
Рассольник домашний по 1-136,36 кКал,1 г,1 г,"5,8 г",первое блюдо
Рассольник ленинградский,"53,3 кКал","1,3 г","1,7 г","8,8 г",первое блюдо
Рассольник по-кубански,"100,8 кКал","4,9 г","5,7 г","7,9 г",первое блюдо
Рисовый грибной суп,"62,7 кКал",2 г,"2,2 г","9,3 г",первое блюдо
Свекольник холодный,"62,6 кКал","1,8 г","3,6 г","6,2 г",первое блюдо
Свекольник холодный по 1-198,30 кКал,"0,8 г","0,2 г","6,1 г",первое блюдо
Сладкий суп из черники с клецками,"75,8 кКал","1,4 г","1,3 г","15,6 г",первое блюдо
Солянка грибная по 1-172,18 кКал,"0,5 г","1,2 г","1,3 г",первое блюдо
"Солянка рыбная, по 1-170",25 кКал,"2,4 г","1,2 г","1,2 г",первое блюдо
"Солянка сборная мясная, по 1-168",39 кКал,"2,1 г","2,8 г","1,3 г",первое блюдо
"Суп ""Ереванский""","54,1 кКал","3,1 г","1,9 г","6,5 г",первое блюдо
"Суп ""Хинкал"" (суп с мясом и ракушками - дагестанское национальное блюдо)","125,1 кКал","10,2 г","6,1 г","7,8 г",первое блюдо
Суп вишневый с клецками,"79,3 кКал",2 г,"1,1 г","16,4 г",первое блюдо
Суп гороховый с яблоками,44 кКал,"2,5 г","2,3 г","3,6 г",первое блюдо
Суп грибной картофельный,"45,5 кКал","0,8 г","3,7 г","2,6 г",первое блюдо
Суп грибной с пирожками,"60,3 кКал","1,3 г","5,2 г","2,2 г",первое блюдо
Суп из белых грибов с макаронами,"58,1 кКал","1,4 г","4,7 г","2,8 г",первое блюдо
Суп из говядины,"41,9 кКал","2,4 г","2,5 г","2,6 г",первое блюдо
Суп из клюквы и яблок,51 кКал,"0,4 г","1,9 г","8,7 г",первое блюдо
Суп из моркови и кефира,58 кКал,"2,3 г","2,1 г",8 г,первое блюдо
Суп из овощей,"36,7 кКал","1,7 г","1,6 г","4,2 г",первое блюдо
Суп из овсяной крупы с яблоками,"62,4 кКал","1,7 г","1,4 г","11,5 г",первое блюдо
Суп из овсяных хлопьев с яблоками,"48,1 кКал","1,7 г","1,5 г","7,4 г",первое блюдо
Суп из плодов свежих,"63,2 кКал","0,2 г","0,2 г","16,2 г",первое блюдо
Суп из свежих помидоров,"37,4 кКал","0,9 г","2,1 г",4 г,первое блюдо
Суп из свежих фруктов по 1-200,50 кКал,"0,1 г","0,1 г","11,9 г",первое блюдо
Суп из свекольной ботвы и щавеля,"46,6 кКал","1,7 г","3,8 г","1,6 г",первое блюдо
Суп из смеси сухофруктов,"80,5 кКал","0,5 г",0 г,"20,9 г",первое блюдо
Суп из спаржи,78 кКал,"2,6 г","4,8 г","6,6 г",первое блюдо
Суп из утки,283 кКал,"10,9 г",23 г,"8,6 г",первое блюдо
Суп из фасоли с орехами,67 кКал,"2,3 г","4,8 г","3,8 г",первое блюдо
Суп из цветной капусты,"36,8 кКал",1 г,"3,2 г","1,1 г",первое блюдо
Суп из черники с клецками,"105,4 кКал","4,6 г","2,3 г","17,6 г",первое блюдо
Суп из черники с макаронами,"34,2 кКал","0,5 г","0,8 г","6,6 г",первое блюдо
Суп из чечевицы,"67,8 кКал","2,5 г","4,2 г","5,2 г",первое блюдо
Суп картофельный,"50,6 кКал","1,3 г","1,1 г","9,4 г",первое блюдо
Суп картофельный по 1-142,45 кКал,"1,1 г","1,2 г","7,8 г",первое блюдо
Суп картофельный с бобовыми,"73,3 кКал","2,7 г","2,4 г","10,8 г",первое блюдо
Суп картофельный с грибами,"42,2 кКал","1,7 г","1,2 г","6,5 г",первое блюдо
Суп картофельный с кальмарами,"62,4 кКал",4 г,"2,4 г","6,5 г",первое блюдо
Суп картофельный с крупой,"53,6 кКал","1,3 г","1,2 г",10 г,первое блюдо
Суп картофельный с макаронными изделиями,"47,7 кКал","1,3 г",1 г,"8,8 г",первое блюдо
Суп картофельный с мясными фрикадельками,"57,6 кКал","3,3 г","2,2 г","6,5 г",первое блюдо
Суп картофельный с перловой крупой по 1-146,37 кКал,1 г,"1,1 г","6,5 г",первое блюдо
Суп картофельный с рыбными фрикадельками,"48,9 кКал","2,5 г","1,6 г","6,6 г",первое блюдо
Суп картофельный со сладким перцем,"55,9 кКал","0,9 г","3,7 г","4,9 г",первое блюдо
Суп лапша грибная,"41,3 кКал","1,6 г","2,1 г","4,1 г",первое блюдо
Суп молочный рисовый,"99,2 кКал","3,1 г",5 г,"11,1 г",первое блюдо
"Суп молочный с белокочанной капустой, по 1-180",54 кКал,2 г,2 г,"6,8 г",первое блюдо
Суп молочный с грибами,"67,2 кКал","2,5 г","3,3 г","7,3 г",первое блюдо
"Суп молочный с картофельными ""стружками""","51,3 кКал","1,4 г","3,6 г","3,5 г",первое блюдо
Суп молочный с клецками,"110,9 кКал","3,8 г","5,2 г",13 г,первое блюдо
Суп молочный с крупой,"68,2 кКал","2,6 г","2,8 г","8,7 г",первое блюдо
"Суп молочный с макаронами, по 1-172",58 кКал,"2,2 г","1,9 г","7,9 г",первое блюдо
Суп молочный с макаронными изделиями,"64,6 кКал","2,8 г","2,7 г","7,7 г",первое блюдо
Суп молочный с овощами,"84,9 кКал","4,5 г","2,8 г","11,2 г",первое блюдо
Суп молочный с рисом,"61,9 кКал","2,2 г","2,8 г","7,5 г",первое блюдо
Суп молочный с рисом,81 кКал,"2,1 г","3,9 г",10 г,первое блюдо
"Суп молочный с рисом, по 1-174",54 кКал,"1,8 г","1,9 г","7,3 г",первое блюдо
Суп молочный с тыквой,"50,9 кКал","2,1 г","1,7 г","7,2 г",первое блюдо
"Суп молочный с тыквой и манной крупой, по 1-178",50 кКал,2 г,"2,2 г","5,4 г",первое блюдо
Суп овощной на отваре шиповника,"67,8 кКал","2,3 г","3,2 г","7,9 г",первое блюдо
Суп перловый с грибами по 1-164,43 кКал,"1,6 г","1,2 г","6,4 г",первое блюдо
Суп пикантный с креветками,"81,9 кКал",9 г,"2,7 г","5,7 г",первое блюдо
Суп полевой,"93,5 кКал","1,5 г","5,9 г","9,2 г",первое блюдо
Суп пшенный с мясом по 1-160,57 кКал,"2,9 г","2,2 г","6,4 г",первое блюдо
Суп рисовый по 1-158,38 кКал,"0,9 г","1,1 г","6,2 г",первое блюдо
Суп с бобовыми (фасоль) по 1-162,54 кКал,3 г,"1,3 г","6,9 г",первое блюдо
Суп с крупой,"41,5 кКал","0,7 г","1,9 г","5,7 г",первое блюдо
Суп с макаронными изделиями,39 кКал,"0,9 г",2 г,"4,5 г",первое блюдо
Суп с перловой крупой,0 кКал,0 г,0 г,0 г,первое блюдо
Суп с рыбными вареничками,"64,3 кКал","5,2 г","2,6 г","5,3 г",первое блюдо
Суп с рыбными фрикадельками,"28,8 кКал","3,7 г","0,6 г","2,3 г",первое блюдо
Суп с фрикадельками,24 кКал,"1,7 г","0,9 г","2,3 г",первое блюдо
Суп со шпинатом и грибами,"76,8 кКал","1,8 г","7,6 г","0,5 г",первое блюдо
Суп фасолевый,"66,3 кКал","1,7 г","4,8 г","4,2 г",первое блюдо
Суп харчо с мясом по 1-164,75 кКал,"3,1 г","4,5 г","5,5 г",первое блюдо
"Суп холодный ""Таратор""","146,1 кКал","3,9 г",10 г,"10,7 г",первое блюдо
Суп-крем из тыквы,"92,5 кКал","3,4 г","4,6 г",10 г,первое блюдо
Суп-лапша домашняя,"47,8 кКал","1,2 г","2,4 г","5,9 г",первое блюдо
Суп-лапша с помидорами по-казачьи,"67,4 кКал",4 г,"4,1 г",4 г,первое блюдо
Суп-пюре из зеленого горошка,"82,7 кКал",4 г,3 г,"10,5 г",первое блюдо
Суп-пюре из кабачков или тыквы,47 кКал,"1,3 г","2,8 г","4,5 г",первое блюдо
Суп-пюре из картофеля и моркови,"37,7 кКал","0,6 г","2,9 г","2,4 г",первое блюдо
Суп-пюре из картофеля по 1-180,58 кКал,"1,6 г",2 г,"8,3 г",первое блюдо
Суп-пюре из моркови по 1-182,39 кКал,"1,2 г","1,8 г","4,5 г",первое блюдо
Суп-пюре из печени,"67,9 кКал","3,7 г","4,1 г","4,3 г",первое блюдо
Суп-пюре из птицы,"93,1 кКал","4,8 г","6,8 г","3,5 г",первое блюдо
Суп-пюре из разных овощей,"60,3 кКал","2,3 г","2,8 г",7 г,первое блюдо
Суп-пюре из рисовой крупы по 1-186,48 кКал,"1,4 г","1,3 г","7,7 г",первое блюдо
Суп-пюре из свежих помидоров,"40,5 кКал","1,8 г","3,1 г","1,4 г",первое блюдо
Суп-пюре из черники,"33,5 кКал","0,3 г","1,3 г","5,5 г",первое блюдо
Суп-пюре из шпината по 1-184,42 кКал,"1,9 г",2 г,4 г,первое блюдо
"Суп-салат ""Садовый""","62,8 кКал","5,6 г","2,8 г",4 г,первое блюдо
Суп-харчо,"43,9 кКал","2,2 г","2,1 г","4,3 г",первое блюдо
Суп-харчо (грузинское национальное блюдо),"87,9 кКал","4,8 г","5,5 г",5 г,первое блюдо
Сырный суп,"93,4 кКал","4,7 г","6,9 г","3,2 г",первое блюдо
Уха ладожская с кнелями и расстегаями,"85,2 кКал","13,4 г","2,5 г","2,5 г",первое блюдо
Уха ростовская,"70,1 кКал","8,5 г","2,2 г","4,4 г",первое блюдо
Уха рыбацкая,"66,7 кКал","8,5 г","1,9 г","4,3 г",первое блюдо
Уха с перловой крупой,"66,3 кКал","9,3 г",1 г,"5,4 г",первое блюдо
Уха с расстегаями,"85,3 кКал","10,4 г","2,9 г","4,7 г",первое блюдо
Фасолевый суп,"48,1 кКал","2,3 г","1,6 г","6,6 г",первое блюдо
Харчо,"114,9 кКал",8 г,"3,6 г","13,6 г",первое блюдо
Хирмаса (суп из субпродуктов с лапшой домашней - бурятское национальное блюдо),"85,6 кКал","4,3 г","5,5 г",5 г,первое блюдо
Холодный борщ с редькой,"32,3 кКал","0,9 г",2 г,"2,9 г",первое блюдо
Щи боярские,"48,3 кКал","3,5 г","2,6 г","2,9 г",первое блюдо
Щи зеленые с яйцом,"44,9 кКал","1,9 г","3,2 г","2,2 г",первое блюдо
Щи из квашеной капусты,"37,2 кКал",2 г,"2,8 г",1 г,первое блюдо
Щи из квашеной капусты,"28,7 кКал","0,8 г","1,7 г","2,6 г",первое блюдо
Щи из квашеной капусты по 1-132,19 кКал,"0,8 г",1 г,"1,5 г",первое блюдо
Щи из клевера и щавеля,"116,3 кКал","3,3 г","8,9 г","6,1 г",первое блюдо
Щи из свежей белокочанной капусты,"17,1 кКал","0,5 г","0,8 г","2,2 г",первое блюдо
Щи из свежей капусты,"33,3 кКал",1 г,"1,9 г","3,4 г",первое блюдо
Щи из свежей капусты по 1-130,24 кКал,"0,9 г","1,1 г","2,5 г",первое блюдо
Щи из свежей капусты с картофелем,"41,6 кКал","1,1 г","2,1 г","4,9 г",первое блюдо
Щи из щавеля,"45,3 кКал","2,1 г","3,1 г","2,4 г",первое блюдо
Щи из щавеля по 1-132,48 кКал,"2,3 г","3,5 г","1,8 г",первое блюдо
Щи по-уральски (с крупой),"31,5 кКал","0,8 г","1,8 г","3,2 г",первое блюдо
Щи с ячневой крупой,"47,6 кКал","2,3 г","3,6 г","1,6 г",первое блюдо
Щи суточные,"46,3 кКал","1,7 г","3,2 г","2,8 г",первое блюдо
Щи суточные по 1-134,19 кКал,"0,9 г",1 г,"1,5 г",первое блюдо
Щи томленые с гречневыми блинами,"56,8 кКал","3,5 г","3,7 г","2,6 г",первое блюдо
Юшка картофельная с кабачками и помидорами,"74,6 кКал","3,5 г","4,3 г",6 г,первое блюдо
Яблочный суп со сметаной,"50,5 кКал","0,8 г","3,2 г","4,9 г",первое блюдо
Винегрет,"130,1 кКал","1,7 г","10,3 г","8,2 г",салат
Винегрет из овощей,"176,9 кКал","1,9 г","13,9 г","11,7 г",салат
Винегрет из овощей и фруктов,"137,4 кКал","1,9 г","9,5 г","11,9 г",салат
"Винегрет из овощей, яблок и зелени","104,2 кКал","1,6 г","7,3 г","8,6 г",салат
Винегрет из перца с картофелем,"97,4 кКал",3 г,"6,2 г","7,9 г",салат
Винегрет из фруктов и овощей,"128,5 кКал","2,1 г","8,2 г","12,4 г",салат
Винегрет овощной,"76,6 кКал","1,7 г","4,9 г","6,8 г",салат
Винегрет овощной,"158,7 кКал","5,7 г","8,4 г","16,2 г",салат
Винегрет по-румынски,"208,1 кКал","6,2 г","16,8 г","8,7 г",салат
Винегрет с консервированным мясом,215 кКал,"10,3 г","15,4 г","9,5 г",салат
Винегрет с селедкой,"119,1 кКал","4,5 г","6,9 г","10,5 г",салат
Винегрет с сельдью,"179,2 кКал","9,1 г",13 г,"6,8 г",салат
Диетический салат из свеклы и яблок,"94,2 кКал","0,8 г",3 г,17 г,салат
"Жареный салат ""Универсал""","26,6 кКал",1 г,"0,2 г","5,5 г",салат
Морковный салат,"88,2 кКал","0,8 г","7,5 г","4,7 г",салат
Морковь с помидорами и яблоками,"44,4 кКал","0,8 г","1,6 г",7 г,салат
Огуречный салат,"131,5 кКал","3,7 г",12 г,"2,2 г",салат
Окрошка,"75,7 кКал","3,7 г","5,1 г",4 г,салат
Окрошка,"57,2 кКал","2,4 г","3,2 г",5 г,салат
Окрошка мясная,"89,1 кКал",7 г,"4,8 г","4,6 г",салат
Окрошка овощная,"48,1 кКал","1,9 г","1,9 г","6,4 г",салат
Окрошка сборная мясная,"95,1 кКал","5,1 г","6,4 г","4,6 г",салат
Оригинальный салат,0 кКал,0 г,0 г,0 г,салат
Пестрый летний салат,0 кКал,0 г,0 г,0 г,салат
Пестрый салат,"73,9 кКал","3,7 г","1,9 г","11,2 г",салат
Печеночный салат,"104,7 кКал","8,2 г","7,5 г","1,1 г",салат
Пикантный салат,0 кКал,0 г,0 г,0 г,салат
Помидоры с огурцами и перцем,"30,7 кКал",1 г,"0,9 г",5 г,салат
Помидоры с огурцами и яблоками,"65,7 кКал","0,8 г","4,9 г","4,8 г",салат
Помидоры с чесночной заправкой,"70,9 кКал","3,9 г","1,9 г","10,1 г",салат
"Помидоры, фаршированные салатом из яблок и огурцов",0 кКал,0 г,0 г,0 г,салат
"Помидоры, фаршированные салатом из яблок и огурцов.","53,5 кКал","0,7 г","3,2 г","5,8 г",салат
Редиска со сметаной,"103,5 кКал","2,7 г",9 г,3 г,салат
Редька в сметане,"111,8 кКал",2 г,"9,2 г","5,5 г",салат
Рыбный салат,"145,6 кКал","5,1 г",12 г,"4,5 г",салат
Рыбный салат,207 кКал,"9,3 г","18,3 г","1,4 г",салат
"Салат ""Ак-идель"" (рыбный с рисом по-башкирски)","368,8 кКал","18,4 г","29,6 г","7,5 г",салат
"Салат ""Архиерейский""","221,5 кКал","5,9 г","20,8 г",3 г,салат
"Салат ""Весна""","90,3 кКал",3 г,"7,4 г","3,1 г",салат
"Салат ""Гнездо глухаря""",0 кКал,0 г,0 г,0 г,салат
"Салат ""Гранат""","225,9 кКал","4,7 г",18 г,12 г,салат
"Салат ""Гранатовый браслет""","166,6 кКал","3,9 г","14,2 г","6,1 г",салат
"Салат ""Грибки""","77,6 кКал","6,5 г","4,7 г","2,6 г",салат
"Салат ""Золушка""",0 кКал,0 г,0 г,0 г,салат
"Салат ""Киевский""","160,9 кКал",5 г,12 г,"8,8 г",салат
"Салат ""Копенгагенский""","75,7 кКал",3 г,"4,8 г","5,4 г",салат
"Салат ""Кремлевский""","252,3 кКал","5,8 г","22,1 г","7,9 г",салат
"Салат ""Летний""","102,5 кКал","3,6 г","7,5 г","5,4 г",салат
"Салат ""Матрешки""","125,9 кКал","11,4 г","8,4 г","1,2 г",салат
